,M 0.50,M 0.75,City Block (M 1.0),M 1.5,Euclidean (M 2.0),M 2.5,M 3.0,M 5.0,Chebyshev (M Infinity),Bray-Curtis,Hamming
M 0.50,0,131428.5,131428.5,131428.5,131428.5,131428.5,131428.5,131428.5,131428.5,131428.5,131428.5
M 0.75,131428.5,0,1971.320313,1971.320313,1971.320313,1971.320313,1971.320313,1971.320313,1971.320313,1971.320313,1971.320313
City Block (M 1.0),131428.5,1971.320313,0,226.4711914,226.4711914,226.4711914,226.4711914,226.4711914,226.4711914,226.4711914,226.4711914
M 1.5,131428.5,1971.320313,226.4711914,0,92.42178345,88.98303223,88.98303223,88.98303223,88.98303223,88.98303223,88.98303223
Euclidean (M 2.0),131428.5,1971.320313,226.4711914,92.42178345,0,92.42178345,92.42178345,92.42178345,92.42178345,92.42178345,92.42178345
M 2.5,131428.5,1971.320313,226.4711914,88.98303223,92.42178345,0,68.32537842,68.32537842,68.32537842,68.32537842,68.32537842
M 3.0,131428.5,1971.320313,226.4711914,88.98303223,92.42178345,68.32537842,0,57.11167908,57.11167908,57.11167908,57.11167908
M 5.0,131428.5,1971.320313,226.4711914,88.98303223,92.42178345,68.32537842,57.11167908,0,35.50744629,48.39537048,48.39537048
Chebyshev (M Infinity),131428.5,1971.320313,226.4711914,88.98303223,92.42178345,68.32537842,57.11167908,35.50744629,0,42.89457703,42.89457703
Bray-Curtis,131428.5,1971.320313,226.4711914,88.98303223,92.42178345,68.32537842,57.11167908,48.39537048,42.89457703,0,0.042826742
Hamming,131428.5,1971.320313,226.4711914,88.98303223,92.42178345,68.32537842,57.11167908,48.39537048,42.89457703,0.042826742,0
